,reviewId,content,label
0,fd212db8-ac94-4b33-9321-5e123f8686cd,saya suka dengan aplikasi ini benar benar mudah untuk transfet antar bank karena gratis tetapi sekarang saya malah sulit guna aplikasi ini karena untuk masuk perlu email dan password padahal passwordnya saya sudah lupa bagaimana ini padahal tadi saya mau tramsfer ke bri akhir saya pakai blu dan ada biaya admin,0.0
1,b8cc5911-6498-4448-8a12-184b444162fc,halo saya guna lama dari tahun awal saya sangat syukur dengan ada apakah flip ini karena sangat bantu tetapi untuk akhir ini selalu ganggu sistem bank sudah x jadi transaksi proses tetapi dana belum sampai ke terima terima kisar hari sedang kita butuh pada hari itu juga moga depan lebih baik nanti bintang ditambahin lagi telah lebih baik terima kasih,1.0
2,5132d329-c7ca-44a0-9975-750c161558e3,sejak tanggal juni saya transaksi flip ke btn status masih proses terus lalu saya coba aju refund pun tidak bisa bagaimana ini solusi mohon perhati sudah aju email tetapi belum ada respon exclamationmark,0.0
3,1d926f7b-902d-4f21-9858-554947e5ab3a,sekarang lebih ribet kalau mau validasi status transfer belum nya kalau kita transfer ke rek flip tinggal klik saya sudah transfer tetapi sekarang tidak ada menu itu ada nya menu baru status bolak balik di klik suruh pasti anda sudah transfer ke rek flip sampai gagal transfer x,0.0
4,578e21b8-85f6-43b7-9ee7-b98096581a8f,aplikasi nya bagus sih hanya sayang fitur print nya tidak ada biar orang bisa ada bukti sah transaksi jadi tidak ada saya kasih bintang dulu yahh kak kalau sudah ada fitur print nanti di kasih bintang,1.0
5,fde385c7-055e-43b3-b728-9e163c8d87ec,sudah bulan ini transfer via flip bolak balik gagal sistem terus walaupun bisa aju refund tetapi jadi wasting time biasa ada kode unik di belakang tetapi sudah bulan trahir tidak pernah muncul kode hanya jumlah nominal asli yang akan di trf saja saya perhati kalau tidak muncul kode unik transaksi pasti nyangkut dan ujung gagal sistem lalu refund kenapa ya questionmark questionmark apa karena saya selalu pakai bank sumber dana yang sama atau karena hal lain apa questionmark tolong bantu ya flip,0.0
6,aaab40ed-d515-49f0-a048-4f906af5d095,akhir akhir ini flip tidak bisa untuk transaksi transfer atau kirim ewallet internet hp saya lancar browsing lancar buka aplikasi flip saat klik menu nya lancar tetapi saat klik menu transfer selalu ada notifikasi koneksi tidak stabil pasti jaring internet kakak lancar tidak tahu kenapa akhir tidak bisa transfer sudah coba ganti koneksi dari wifi indihome sama kuota hp sama saja,0.0
7,c8af2c5b-6aab-4f52-beb4-47650d789a03,untuk update yang sekarang kurang puas transaksi instan batas hanya kali bulan dan jika sudah lebih limit hadap pada transaksi bisa free biaya tunggu menit dan jika seperti biasa fee transaksi untuk yang mungkin bisa pangkas lagi waktu sekitar menit saja,1.0
8,ba5cf377-f5e8-4619-a76d-e296381c3792,mohon maaf kenapa flip jadi lambat sekali ya questionmark dan kenapa erorr terus tiap mau transaksi jadi tidak bisa guna jadi telah update jadi ada saldo begitu terima kasih,0.0
9,889d5a83-261d-497c-82c6-e130a99f6fb3,awal saya pakai untuk transfer lancar tetapi kenapa pas saya topup saldi aplikasi tidak bisa buka bagaimana ini dana saya ada saldo mohon jelas mau masuk lagi ke aplikasi tidak bisa saya uninstal terus instal ulang tetap aplikasi tidak bisa buka,0.0
10,88aa5952-f887-4fef-8499-e1884a6de451,ada apa dengan flip kak hampir tahun setia dengan flip kemarin masih bisa buat transfer sekarang kok ganggu tiap mau buka flip tidak bisa dan muncul tulisa provider internet yang di guna tidak dapat hubung ke flip klik tombol bantu juga tidak bisa perlu sangat buat transfer mohon segera di baik,0.0
