,reviewId,content,label,Target_type
0,fd212db8-ac94-4b33-9321-5e123f8686cd,saya suka dengan aplikasi ini benar benar memudahkan untuk transfet antar bank karena gratis tapi sekarang saya malah kesulitan menggunakan aplikasi ini karena untuk masuk perlu email dan password padahal passwordnya saya sudah lupa bagaimana ini padahal tadi saya mau tramsfer ke bri akhirnya saya pake blu dan ada biaya admin,negatif,0
1,b8cc5911-6498-4448-8a12-184b444162fc,halo saya pengguna lama dari tahun awalnya saya sangat bersyukur dengan adanya apk flip ini krn sangat membantu tetapi untuk akhir ini selalu gangguan sistem bank sudah x terjadi transaksi diproses tp dana belum sampai ke penerima diterima kisaran hari sedangkan kita butuhnya pada hari itu juga semoga kedepannya lebih baik nanti bintangnya ditambahin lagi setelah lebih baik trims,positif,1
2,5132d329-c7ca-44a0-9975-750c161558e3,sejak tgl juni saya transaksi flip ke btn status masih proses terus lalu saya coba ajukan refund pun tidak bisa gmna ini solusinya mhon perhatiannya sudah ajukan email tp belum ada respon exclamationmark,negatif,0
3,1d926f7b-902d-4f21-9858-554947e5ab3a,sekarang lbh ribet kl mau validasi status transfer sblm nya kl kita transfer ke rek flip tinggal klik saya sudah transfer tp skrg tdk ada menu itu ada nya menu perbarui status bolak balik di klik suruh pastikan anda sudah transfer ke rek flip sampai gagal transfer x,negatif,0
4,578e21b8-85f6-43b7-9ee7-b98096581a8f,aplikasi nya bagus sih cuman sayang fitur print nya gak ada biar orang bisa ada bukti sah transaksi jadi gak ada saya kasih bintang dulu yahh kak kalau udah ada fitur print nanti di kasih bintang,positif,1
5,fde385c7-055e-43b3-b728-9e163c8d87ec,sdh bln ini transfer via flip bolak balik gagal sistem trs walaupun bs diajukan refund tp jd wasting time biasanya ada kode unik dibelakang tp sdh bln trahir tdk pernah muncul kodenya hanya sejumlah nominal asli yg akan di trf saja saya perhatikan kalo tdk muncul kode unik transaksi pasti nyangkut dan berujung gagal sistem lalu refund knp ya questionmark questionmark apa karna saya slalu pake bank sumber dana yg sama atau krna hal lain apa questionmark tolong dibantu ya flip,negatif,0
6,aaab40ed-d515-49f0-a048-4f906af5d095,akhir akhir ini flip tidak bisa untuk transaksi transfer atau kirim ewallet internet hp saya lancar browsing lancar buka aplikasi flip saat klik menu nya lancar tetapi saat klik menu transfer selalu ada notifikasi koneksi tdk stabil pastikan jaringan internet kakak lancar gak tau kenapa akhirnya gak bisa transfer sudah coba ganti koneksi dari wifi indihome sama kuota hp sama saja,negatif,0
7,c8af2c5b-6aab-4f52-beb4-47650d789a03,untuk update yang sekarang kurang puas transaksi instan dibatasi hanya kali bulan dan jika sudah melebihi limit dihadapkan pada transaksi bisa free biaya menunggu menit dan jika seperti biasa fee transaksi untuk yang mungkin bisa dipangkas lagi waktunya sekitar menit saja,positif,1
8,ba5cf377-f5e8-4619-a76d-e296381c3792,mohon maaf kenapa flip jadi lambat sekali ya questionmark dan kenapa erorr terus setiap mau transaksi jadi tidak bisa digunakan terjadi setelah update jadi ada saldonya gitu terima kasih,negatif,0
9,889d5a83-261d-497c-82c6-e130a99f6fb3,awalnya saya pakai untuk transfer lancar tapi kenapa pas saya topup saldi aplikasi tidak bisa dibuka bagaimana ini dana saya ada disaldo mohon penjelasannya mau masuk lagi ke aplikasi tidak bisa saya uninstal terus instal ulang tetep aplikasi tidak bisa dibuka,negatif,0
